name,strasse,link,lat,long
Eugen Peisak,Marktplatz 19,http://www.stolpersteine-stuttgart.de/index.php?docid=447&mid=66,48.7752925,9.1789092
Hedwig Peritz,Schurwaldstr. 53,,48.7821773,9.2172513
Irma Peritz,Schurwaldstr. 53,,48.7821773,9.2172513
Klara Peritz,Schurwaldstr. 53,,48.7821773,9.2172513
Hermann Pflichthofer,Wiesbadener Str. 10,http://www.stolpersteine-cannstatt.de/node/166,48.8052775,9.2203872
Karl Pflomm,Am Kochenhof 59,,48.7982117,9.1671762
Emma Pick,Augustenstr. 39B,http://www.stolpersteine-stuttgart.de/index.php?docid=406&mid=66,48.77103,9.16508
Paul Pick,Augustenstr. 39B,http://www.stolpersteine-stuttgart.de/index.php?docid=406&mid=66,48.77103,9.16508
Heinrich Pincus,Himmerreichstr. 2,http://www.stolpersteine-stuttgart.de/index.php?docid=505&mid=66,48.778395,9.1245351
Eugen Plappert,Reichenbachstraße 38,http://www.stolpersteine-cannstatt.de/node/121,48.798483,9.22415
Esther Pomeranz,Hauptstätterstr. 86a,http://www.stolpersteine-stuttgart.de/index.php?docid=791&mid=66,48.769264,9.174109999999999
Israel Isidor Pomeranz,Hauptstätterstr. 86a,http://www.stolpersteine-stuttgart.de/index.php?docid=791&mid=66,48.769264,9.174109999999999
Jakob Preuß,Gablenberger Hauptstr. 29,http://www.stolpersteine-stuttgart.de/index.php?docid=132&mid=66,48.77888,9.20745
Ernst Rau,Friesenstr. 15,http://www.stolpersteine-stuttgart.de/index.php?docid=781&mid=66,48.8289937,9.1728551
Berta Rauner,Leuschnerstr. 51,http://www.stolpersteine-stuttgart.de/index.php?docid=139&mid=66,48.77581000000001,9.16345
Robert Rebmann,Katzenbachstr.  50,,48.73273,9.10738
Dr. Ernst Reichenberger,König-Karl-Straße 24,http://www.stolpersteine-cannstatt.de/node/3,48.8062565,9.220048100000001
Berta Reif,Libanonstr. 3,,48.7784459,9.194942000000001
Marie Reif,Eduard-Pfeiffer-Str. 107,http://www.stolpersteine-stuttgart.de/index.php?docid=737&mid=66,48.78911,9.17182
Adele Jolanta Reinhardt,Stuttgarter Str. 114,,48.8089052,9.1572554
Albert Reinhardt,Reinhold-Brändle-Weg 8,http://www.stolpersteine-stuttgart.de/index.php?docid=237&mid=66,48.8348017,9.1815847
August Reinhardt,Neckartalstraße 145,http://www.stolpersteine-cannstatt.de/node/159,48.8114824,9.216418599999999
August Reinhardt,Reinhold-Brändle-Weg 8,http://www.stolpersteine-stuttgart.de/index.php?docid=237&mid=66,48.8348017,9.1815847
Franz Reinhardt,Stuttgarter Str. 114,,48.8089052,9.1572554
Friederike Reinhardt,Neckartalstr. 145,http://www.stolpersteine-cannstatt.de/node/158,48.8114824,9.216418599999999
Friederike Reinhardt,Büsnauer Str. 260,http://www.stolpersteine-stuttgart.de/index.php?docid=416&mid=66,48.75248,9.08386
Heinz Reinhardt,Neckartalstr. 145,,48.8114824,9.216418599999999
Johann Reinhardt,Neckartalstr. 145,http://www.stolpersteine-cannstatt.de/node/157,48.8114824,9.216418599999999
Johanna Reinhardt,Stuttgarter Str. 114,,48.8089052,9.1572554
Johannes Reinhardt,Düsseldorfer Str. 59,http://www.stolpersteine-cannstatt.de/node/156,48.8162995,9.210521
